Sl No,Bot Msg
0,"It's a pleasure to have you with us. Kindly let me know which service you want?

Account Management Service or Premium subscription?"
1,There are 2 kind of services we provide under AMS. Please select an option to know more about it.
2,There are 2 kind of services we provide under Premium Subscription. Please select an option to know more about it.
3,"Thanks for showing interest in availing our AMS service. Please go through the Q&A to have a brief understanding.

=> What's the capital requirement? 

20k is the minimum capital to start. However, return is synonymous with capital. Higher capital would fetch more profit. 

=> What are the charges? 

5k is an advance one-time fixed payment (non refundable) for lifetime account maintenance. No monthly charges.

After starting, 30% of the profit you need to share whenever profit reaches near 10% of your capital. For example, with starting capital of 1lakh, once it becomes 10k, you need to give 3k. Here we will consider Net profit (profit after brokerage, taxes and other expenses).In case of loss, we'll first cover up the loss, bring back profit and then only profit sharing will resume again. 

=> What's the minimum/expected return or risk involved in AMS? 

 => There's no guarantee of min or fixed return like debt instruments (i.e. - Fixed Deposit, Bonds etc). You're venturing into F&O trading which is one of the riskiest financial instruments. You should only invest that much which you're comfortable to lose!!
The performance shown in my channel is past performance of the accounts we manage. We always try our level best to keep it same or better in future too. As our earnings is linked with your profitability, our aim would always be giving decent profit in your account keeping the capital safe. But don't join if you become uncomfortable with negative MTM for the time being and have a notion that Q7 can bring only profit every day/every market conditions in your account without fail. We are no magician or God!!

=> Which segment Q7 works? 

 We work solely in stock option buying (NO option writing/selling). 
 
=> Trades will be intraday or positional? 

90% of the trades do hit our target in Intraday only but if in some cases it doesn't hit, we carry it positionally as the idea is not to forcefully exit it until we get the maximum benefit from a trade setup. Now, to get an Idea of real-time accuracy and risk reward you can go through the real P&Ls of my AMS clients' in Q7 official telegram channel.

Note :- The terms and conditions are non-negotiable. No queries will be entertained on reducing the One-time Operational charges or Profit sharing ratio. Only if you're OK with all the terms then proceed."
4,"**Details of stock portfolio management**
 
1. Minimum fund - 25,000? 
2. 4-5 stocks(max) will be there.
3. Target is 100% return on capital by 31st Dec, 2022.10x(1000%) return on capital by 2025. 
4. One-time registation fees - 10k (For lifetime account maintenance)
5. Sharing of 30% after 100% capital appreciation (when 1L becomes 2L, you need to pay 30k)
6. Stocks can be small cap to midcap only. No large cap or penny stocks 
7. Risk tends to nil as it's a PURE investment related service. No Intraday or F&O trading whatsoever.

For any queries regarding stock PMS ask directly to Mr. Biswarup here @profitabletrader"
5,"** It's a Premium private telegram channel**

Daily 2 to 3 (INTRADAY + POSITIONAL) high probabilistic trade setups with minimum 20000?+ target in each trade. 

=> DAILY intraday trade setups with proper SL and Target with 1:3 risk reward.

=> Live market support will be given. 

=> Both whatsapp prime broadcast and HNI STOCK OPTION will have DIFFERENT trades. 

=> Capital requirement - 35k+

To get associated, please open the link, subscription details are there. Once you pay, you'll be added automatically.

https://rigipay.com/g/mzRMMx6ez0"
6,"** WHATSAPP PRIME SUBSCRIPTION **

1. All calls will be in option ( 80% to 85% of the trade setup hit target Intraday only but the idea is not to exit forcefully in Intraday only as operators are active for Intraday StopLoss hunting, in that case we carry positionally).

=> Risk: Reward ratio will be 1:3++ always.

=> Sample calls will be like- Escort 740 ce at 8 sl 6 target 12 15. 

No buy above/Sell below entry.

Clear and simple entry/exit will be there in every call. 

=> Number of calls will be depending upon market scenario. If market is really good, you can expect up to 2 trade setups, if market is risky, I might not give any. We focus on the quality and not the quantity of the trades. Profit from each trade is important, not the number of trades. In a month on an average 15 trade setups are there. 

=> I'll share my own understanding regarding market. The stocks I take for long-term wealth creation, the mutual funds in which I personally invest. Suitable Trading Psychology of a trader. All these will be shared by me. The concept is to learn and grow gradually as a family.

=> Capital requirement is 25k to 30k to trade in one trade set up.

Live market Guidance will be there in premium subscription."
7,Thanks for choosing Option AMS services. Please let me know the name of the platform you use for trading from the options given below -
8,"Kindly scroll down to check all the questions regarding Option AMS Services. If your query is not in the list, in the end you can connect to our team."
9,"To take HNI subscription, please go through this link, make the payment, after the payment you'll get the link of the private telegram channel. If you won't get it, then ping here @profitabletrader

https://rigipay.com/g/mzRMMx6ez0"
10,"Kindly scroll down to check all the questions regarding HNI Stock Option Services. If your query is not in the list, in the end you can connect to our team."
11,"Kindly scroll down to check all the questions regarding Whatsapp prime subscription. If your query is not in the list, in the end you can connect to our team."
12,"You chose Zerodha account.
Please change the password to bisw1234(b in small) and pin to 123456 of your zerodha account
You need to make one-time payment of 5K which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
13,"You chose Upstox account.
You need to provide -

User ID

Change the Password to Bisw1234@

Birth year

You need to make one-time payment of 5K which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
14,"You chose Angel Broking account.
Please change the password to Bisw1234 and pin to 1234 of your Angel account
You need to make one-time payment of 5K which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
15,"You chose Alice Blue account.
Please change the password to bisw1234 and give year of birth along with the Alice blue Account ID
You need to make one-time payment of 5K which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
16,"You chose Groww account.
For Groww, just share the user ID and password, that's it. No need to change the password
You need to make one-time payment of 5K which is the lifetime account handling charge in the below mentioned account -
Q7 Trading Solutions

Account number - 10190004393653

Account type - Current Account. 

IFSC  BDBL0001026

Bandhan Bank

Upi ID - 8927854899@upi

Gpay/Phonepe/Paytm – 8927854899

Kindly make the payment as I need to upload the payment ID along with the trading account details in my system, and need to assign a dedicated associate against your ID, so that we can start hassle free from tomorrow morning.

After the payment share your screenshot and Groww ID to this ID @profitabletrader (telegram) 

In case of any issues in non accepting the recommended password please connect in this id @profitabletrader"
17,"There are two kinds of financial instruments

1. Debt (Like Fixed Deposit)

2. Equity (Stocks, Mutual fund etc)

Debt instruments are for protecting capital as it's risk free. It gives a minimum return guarantee (usually 4% to 6% annually)

Equity instruments are for wealth creation but they don't guarantee minimum profit or return per say.

Expected return is based on market scenario.

In my past performance I've been able to give 50% to 100% return in two weeks. But that shouldn't be set as a benchmark for the future also. It might be better or worse but mostly it will hover around the same. There's no guarantee of minimum return as we're dealing with Equity instruments, not with debt instruments like FD or Bonds

I've been publicly posting the real P&Ls along with trade details of my clients' accounts on a capital of varied range to give an idea about the return, accuracy and risk-reward. 

Still select your capital so that we can give you a fair idea -
(Scroll down to see all options)"
18,"Anything above 20k is a good capital to start with

Most have started small and gradually increased the capital

However, return is synonymous to capital. Higher capital would fetch more profit. So, without financially exhausting yourself whatever you are comfortable to start with, you can!!"
19,"We take option calls only. 

You already know max amount you can lose even in any unforseen incident. 

Moreover, in every trade, it won't cross more than 3k. Target is minimum 5k. Usually 15k to 20k we would book. So, risk reward is 1:3+ 

Overall I maintain 90% accuracy. So even if I lose one, in next call I will recover double than what I've lost. Utmost care is being taken to preserve the capital. Moreover, my business grows depending upon your Account's growth, so my sole focus would be to make you profitable. If I make loss, I need to cover up the loss, make profit and then only profit sharing would resume.

I've been a full-time time trader and unlike Excel sheets I've been uploading real P&L of the accounts, that's only possible when you know to how to manage your risk. Being a trader, it's not possible to make profit everytime, but we lose less when we're wrong and earn more when you're right. That's how successful trading works."
